data,open,high,loe,close,volume,per_100,per_10000
2020/12/1,203.00,204.00,199.00,202.00,49.10,-2.42,-242
2020/11/30,210.00,210.00,204.00,207.00,37.00,-1.43,-143
2020/11/27,211.00,212.00,207.00,210.00,31.70,0.96,96
2020/11/26,206.00,212.00,206.00,208.00,112.50,2.97,297
2020/11/25,213.00,213.00,198.00,202.00,164.50,-0.98,-98
2020/11/24,205.00,207.00,201.00,204.00,65.40,2.00,200
2020/11/20,196.00,201.00,196.00,200.00,63.10,4.71,471
2020/11/19,193.00,193.00,190.00,191.00,29.60,-1.04,-104
2020/11/18,188.00,195.00,187.00,193.00,105.40,2.66,266
2020/11/17,185.00,189.00,185.00,188.00,85.30,0.53,53
2020/11/16,188.00,189.00,186.00,187.00,70.50,-5.56,-556
2020/11/13,196.00,198.00,196.00,198.00,31.20,0.00,0
2020/11/12,200.00,201.00,196.00,198.00,40.80,-1.00,-100
2020/11/11,201.00,201.00,198.00,200.00,15.80,-0.99,-99
2020/11/10,201.00,205.00,200.00,202.00,60.50,1.51,151
2020/11/9,196.00,199.00,195.00,199.00,50.50,4.19,419
2020/11/6,195.00,195.00,190.00,191.00,23.00,1.60,160
2020/11/5,186.00,190.00,186.00,188.00,31.50,1.62,162
2020/11/4,188.00,188.00,185.00,185.00,19.10,-0.54,-54
2020/11/2,184.00,186.00,182.00,186.00,24.80,3.91,391
2020/10/30,181.00,182.00,177.00,179.00,33.40,-4.28,-428
2020/10/29,187.00,189.00,186.00,187.00,7.80,-0.53,-53
2020/10/28,190.00,190.00,187.00,188.00,19.90,1.62,162
2020/10/27,182.00,185.00,180.00,185.00,19.70,1.09,109
2020/10/26,188.00,188.00,183.00,183.00,13.00,-3.17,-317
2020/10/23,187.00,190.00,187.00,189.00,10.70,-1.05,-105
2020/10/22,194.00,194.00,189.00,191.00,45.70,-3.54,-354
2020/10/21,197.00,199.00,196.00,198.00,14.80,0.51,51
2020/10/20,196.00,198.00,196.00,197.00,4.50,2.60,260
2020/10/19,194.00,194.00,192.00,192.00,16.30,0.52,52
2020/10/16,196.00,196.00,191.00,191.00,24.80,-3.54,-354
2020/10/15,197.00,198.00,195.00,198.00,22.60,-1.00,-100
2020/10/14,201.00,203.00,200.00,200.00,7.40,-1.48,-148
2020/10/13,204.00,205.00,202.00,203.00,30.40,1.00,100
2020/10/12,205.00,205.00,200.00,201.00,26.90,1.52,152
2020/10/9,197.00,200.00,197.00,198.00,15.80,1.54,154
2020/10/8,199.00,200.00,189.00,195.00,136.50,-2.01,-201
2020/10/7,201.00,203.00,199.00,199.00,37.90,-2.45,-245
2020/10/6,205.00,206.00,202.00,204.00,68.30,-2.86,-286
2020/10/5,207.00,210.00,201.00,210.00,406.60,17.98,1798
2020/10/2,183.00,186.00,177.00,178.00,94.90,-4.81,-481
2020/9/30,182.00,188.00,181.00,187.00,126.20,5.65,565
2020/9/29,176.00,181.00,175.00,177.00,38.60,1.14,114
2020/9/28,174.00,176.00,174.00,175.00,12.00,0.00,0
2020/9/25,176.00,177.00,173.00,175.00,35.00,0.57,57
2020/9/24,180.00,180.00,172.00,174.00,95.60,-4.40,-440
2020/9/23,184.00,184.00,181.00,182.00,23.90,-2.67,-267
2020/9/18,187.00,187.00,184.00,187.00,45.70,1.08,108
2020/9/17,187.00,187.00,184.00,185.00,42.90,0.00,0
2020/9/16,178.00,185.00,178.00,185.00,156.90,4.52,452
2020/9/15,178.00,179.00,177.00,177.00,9.60,0.57,57
