data,open,high,loe,close,volume,per_100
2020/12/1,9915.00,9925.00,9768.00,9800.00,2595.10,0.99
2020/11/30,9764.00,9800.00,9704.00,9704.00,6713.20,-1.10
2020/11/27,9777.00,9829.00,9762.00,9812.00,4199.70,0.59
2020/11/26,9747.00,9799.00,9734.00,9754.00,2158.80,-0.57
2020/11/25,9780.00,9826.00,9710.00,9810.00,5154.80,3.37
2020/11/24,9437.00,9499.00,9432.00,9490.00,3962.60,2.76
2020/11/20,9112.00,9235.00,9112.00,9235.00,2525.20,-0.15
2020/11/19,9213.00,9256.00,9145.00,9249.00,3303.90,0.13
2020/11/18,9290.00,9310.00,9198.00,9237.00,2758.60,-1.82
2020/11/17,9373.00,9432.00,9351.00,9408.00,2895.80,-0.87
2020/11/16,9400.00,9491.00,9353.00,9491.00,3318.20,1.77
2020/11/13,9254.00,9339.00,9230.00,9326.00,2563.40,1.81
2020/11/12,9117.00,9160.00,9069.00,9160.00,3549.60,1.33
2020/11/11,9010.00,9040.00,8960.00,9040.00,2952.00,1.35
2020/11/10,8980.00,9000.00,8888.00,8920.00,4279.20,-3.25
2020/11/9,9222.00,9269.00,9211.00,9220.00,3119.00,0.82
2020/11/6,9155.00,9202.00,9140.00,9145.00,2678.30,-0.91
2020/11/5,9061.00,9229.00,9061.00,9229.00,4984.50,3.66
2020/11/4,8900.00,8950.00,8871.00,8903.00,3450.00,1.54
2020/11/2,8817.00,8845.00,8746.00,8768.00,2818.70,1.08
2020/10/30,8700.00,8815.00,8670.00,8674.00,4877.20,-1.43
2020/10/29,8793.00,8818.00,8705.00,8800.00,6065.80,6.69
2020/10/28,8180.00,8249.00,8164.00,8248.00,3173.60,1.83
2020/10/27,8045.00,8111.00,8027.00,8100.00,2795.40,1.04
2020/10/26,7964.00,8065.00,7949.00,8017.00,2426.30,2.52
2020/10/23,7813.00,7859.00,7806.00,7820.00,1749.40,0.05
2020/10/22,7810.00,7820.00,7800.00,7816.00,1796.20,-1.01
2020/10/21,7930.00,7931.00,7869.00,7896.00,2471.30,-0.05
2020/10/20,7910.00,7919.00,7882.00,7900.00,1963.10,1.69
2020/10/19,7807.00,7808.00,7766.00,7769.00,1719.70,2.18
2020/10/16,7593.00,7624.00,7564.00,7603.00,2637.30,-1.99
2020/10/15,7767.00,7774.00,7731.00,7757.00,2188.50,-0.69
2020/10/14,7830.00,7851.00,7777.00,7811.00,2378.40,-1.25
2020/10/13,7890.00,7910.00,7866.00,7910.00,1855.00,1.83
2020/10/12,7730.00,7779.00,7721.00,7768.00,2158.40,-1.20
2020/10/9,7914.00,7914.00,7839.00,7862.00,2295.70,0.38
2020/10/8,7785.00,7850.00,7775.00,7832.00,2456.00,0.80
2020/10/7,7780.00,7789.00,7729.00,7770.00,2206.10,-0.74
2020/10/6,7828.00,7847.00,7810.00,7828.00,1832.00,-0.81
2020/10/5,7898.00,7929.00,7878.00,7892.00,2427.40,1.79
2020/10/2,7895.00,7930.00,7710.00,7753.00,5398.90,-3.47
2020/9/30,8099.00,8099.00,8022.00,8032.00,3644.80,-2.05
2020/9/29,8186.00,8244.00,8161.00,8200.00,2743.20,0.26
2020/9/28,8134.00,8179.00,8083.00,8179.00,3143.50,0.98
2020/9/25,8131.00,8169.00,8100.00,8100.00,4124.70,-0.67
2020/9/24,8200.00,8208.00,8155.00,8155.00,2860.10,-0.60
2020/9/23,8220.00,8220.00,8179.00,8204.00,3442.00,-1.43
2020/9/18,8283.00,8351.00,8264.00,8323.00,4083.20,2.35
2020/9/17,8165.00,8173.00,8123.00,8132.00,2509.30,-0.95
2020/9/16,8160.00,8210.00,8154.00,8210.00,3035.80,1.89
2020/9/15,8110.00,8114.00,8050.00,8058.00,3004.60,-2.41
2020/9/14,8251.00,8270.00,8226.00,8257.00,1701.20,0.56
2020/9/11,8237.00,8237.00,8185.00,8211.00,1609.90,-0.06
2020/9/10,8265.00,8269.00,8162.00,8216.00,3134.50,1.71
2020/9/9,8028.00,8111.00,8012.00,8078.00,3253.40,-1.91
2020/9/8,8227.00,8241.00,8191.00,8235.00,1788.20,0.45
2020/9/7,8201.00,8217.00,8181.00,8198.00,1837.40,-1.09
2020/9/4,8324.00,8328.00,8274.00,8288.00,2418.70,-1.64
2020/9/3,8450.00,8450.00,8396.00,8426.00,1646.00,0.07
2020/9/2,8424.00,8430.00,8397.00,8420.00,1866.60,0.85
2020/9/1,8300.00,8352.00,8280.00,8349.00,1950.20,0.48
2020/8/31,8352.00,8373.00,8293.00,8309.00,2961.30,0.35
2020/8/28,8459.00,8463.00,8223.00,8280.00,5239.60,-3.26
2020/8/27,8556.00,8596.00,8527.00,8559.00,2090.20,-0.14
2020/8/26,8530.00,8572.00,8500.00,8571.00,2269.00,1.76
2020/8/25,8475.00,8478.00,8407.00,8423.00,1606.30,0.19
2020/8/24,8390.00,8413.00,8355.00,8407.00,1485.90,1.48
2020/8/21,8277.00,8316.00,8275.00,8284.00,2758.20,-0.84
2020/8/20,8424.00,8433.00,8300.00,8354.00,4623.10,-2.02
2020/8/19,8546.00,8586.00,8525.00,8526.00,3435.10,-2.76
2020/8/18,8735.00,8788.00,8735.00,8768.00,1968.40,-0.66
2020/8/17,8850.00,8859.00,8819.00,8826.00,1707.80,-0.56
2020/8/14,8854.00,8876.00,8832.00,8876.00,2186.30,2.02
2020/8/13,8665.00,8700.00,8646.00,8700.00,2616.50,2.81
2020/8/12,8432.00,8482.00,8432.00,8462.00,2360.70,-0.88
2020/8/11,8499.00,8540.00,8488.00,8537.00,2530.00,0.14
2020/8/7,8508.00,8542.00,8455.00,8525.00,2546.10,0.67
2020/8/6,8478.00,8519.00,8460.00,8468.00,1956.80,-0.91
2020/8/5,8545.00,8555.00,8485.00,8546.00,4147.30,-1.61
2020/8/4,8665.00,8705.00,8617.00,8686.00,4312.40,4.47
2020/8/3,8301.00,8328.00,8288.00,8314.00,2510.30,2.95
2020/7/31,8090.00,8133.00,8065.00,8076.00,2693.30,-1.32
2020/7/30,8211.00,8230.00,8177.00,8184.00,1610.40,0.20
2020/7/29,8186.00,8189.00,8156.00,8168.00,1683.30,-1.09
2020/7/28,8267.00,8276.00,8238.00,8258.00,2154.90,0.76
2020/7/27,8195.00,8239.00,8183.00,8196.00,2249.70,-0.77
2020/7/22,8285.00,8286.00,8260.00,8260.00,1657.90,-1.42
2020/7/21,8390.00,8399.00,8358.00,8379.00,2261.00,1.58
2020/7/20,8124.00,8253.00,8124.00,8249.00,2347.70,1.65
2020/7/17,8082.00,8125.00,8060.00,8115.00,1686.30,-0.75
2020/7/16,8235.00,8266.00,8147.00,8176.00,3041.60,0.62
